feature1,feature2,feature3,feature4,Feature5,Label
3,22,1,0,7,0
1,38,1,0,71,1
3,26,0,0,7925,1
1,35,1,0,53,1
3,35,0,0,8,0
3,,0,0,8,0
1,54,0,0,52,0
3,2,3,1,21075,0
3,27,0,2,11,1
2,14,1,0,30,1
3,4,1,1,17,1
1,58,0,0,27,1
3,20,0,0,8,0
3,39,1,5,31275,0
3,14,0,0,8,0
2,55,0,0,16,1
3,2,4,1,29125,0
2,,0,0,13,1
3,31,1,0,18,0
3,,0,0,7225,1
2,35,0,0,26,0
2,34,0,0,13,1
3,15,0,0,8,1
1,28,0,0,36,1
3,8,3,1,21075,0
3,38,1,5,31,1
3,,0,0,7225,0
1,19,3,2,263,0
3,,0,0,8,1
3,,0,0,8,0
1,40,0,0,28,0
1,,1,0,147,1
3,,0,0,8,1
2,66,0,0,11,0
1,28,1,0,82,0
1,42,1,0,52,0
3,,0,0,7,1
3,21,0,0,8,0
3,18,2,0,18,0
3,14,1,0,11,1
3,40,1,0,9475,0
2,27,1,0,21,0
3,,0,0,8,0
2,3,1,2,42,1
3,19,0,0,8,1
3,,0,0,8,0
3,,1,0,16,0
3,,0,0,8,1
3,,2,0,22,0
3,18,1,0,18,0
3,7,4,1,40,0
3,21,0,0,8,0
1,49,1,0,77,1
2,29,1,0,26,1
1,65,0,1,62,0
1,,0,0,36,1
2,21,0,0,11,1
3,28.5,0,0,7,0
2,5,1,2,28,1
3,11,5,2,47,0
3,22,0,0,7,0
1,38,0,0,80,1
1,45,1,0,83475,0
3,4,3,2,28,0
1,,0,0,28,0
3,,1,1,15,1
2,29,0,0,11,1
3,19,0,0,8,0
3,17,4,2,7925,1
3,26,2,0,9,0
2,32,0,0,11,0
3,16,5,2,47,0
2,21,0,0,74,0
3,26,1,0,14,0
3,32,0,0,56,1
3,25,0,0,8,0
3,,0,0,8,0
3,,0,0,8,0
2,0.83,0,2,29,1
3,30,0,0,12475,1
3,22,0,0,9,0
3,29,0,0,10,1
3,,0,0,8,1
1,28,0,0,47,0
2,17,0,0,11,1
3,33,3,0,16,1
3,16,1,3,34375,0
3,,0,0,8,0
1,23,3,2,263,1
3,24,0,0,8,0
3,29,0,0,8,0
